"year","town","cnt_sales","avg_sale_price","sale_price_q1","median_sale_price","sale_price_q3","avg_sales_ratio","sales_ratio_q1","median_sales_ratio","sales_ratio_q3","avg_assessed_value","assessed_value_q1","median_assessed_value","assessed_value_q3"
"2001","Ansonia","81","136188.34567901236","87500.0000000000","139900.0000000000","175000.0000000000","1.1251711521234566","0.4579787230","0.5625925930","0.8665263160","89509.38271604938","70490.0000000000","81550.0000000000","100030.0000000000"
"2001","Ashford","29","123325.06896551725","77000.0000000000","113500.0000000000","141000.0000000000","0.6365950278620689","0.5764142730","0.6092800000","0.7044125950","70607.93103448275","47970.0000000000","69840.0000000000","86760.0000000000"
"2001","Avon","117","321489.73504273506","190000.0000000000","265000.0000000000","426000.0000000000","0.5768979324273504","0.5160256410","0.5755555560","0.6410205100","175996.15384615384","106610.0000000000","144320.0000000000","238210.0000000000"
"2001","Barkhamsted","23","142686.95652173914","50500.0000000000","170000.0000000000","216700.0000000000","0.7753471220434782","0.5499166285","0.6093333330","0.6723152490","89627.82608695653","26820.0000000000","111260.0000000000","122345.0000000000"
"2001","Berlin","131","183406.23664122136","134500.0000000000","179900.0000000000","235392.5000000000","0.7646971278854963","0.4550828545","0.5494505490","0.6472634495","95398.47328244275","73060.0000000000","93440.0000000000","117720.0000000000"
"2001","Bethany","52","60559.61538461538","0.0000000000","0.0000000000","111750.0000000000","0.5414136079230768","0.0000000000","0.0000000000","0.6348696712","102469.61538461539","72520.0000000000","100375.0000000000","133252.5000000000"
"2001","Bethel","113","222593.72566371682","172900.0000000000","225000.0000000000","271500.0000000000","0.5098449321858408","0.4445217390","0.4765773810","0.5226545450","109439.64601769911","83580.0000000000","113460.0000000000","132760.0000000000"
"2001","Bethlehem","16","109428.125","76250.0000000000","98500.0000000000","137750.0000000000","1.0085630913125","0.5757777778","0.6480333070","0.8665626160","76519.875","46291.0000000000","67115.0000000000","92192.5000000000"
"2001","Bloomfield","136","172448.03676470587","112000.0000000000","146500.0000000000","200000.0000000000","0.712317216536765","0.4747527370","0.5303664010","0.5772316560","89585.95588235294","58322.5000000000","74950.0000000000","100747.5000000000"
"2001","Bolton","26","179786.15384615384","106250.0000000000","145000.0000000000","285500.0000000000","0.6096625086153847","0.5158670280","0.5829209325","0.6750300000","100851.53846153847","74242.5000000000","88330.0000000000","135197.5000000000"
"2001","Bozrah","12","122750","62475.0000000000","116950.0000000000","183750.0000000000","0.9684096689166667","0.4404580452","0.5164782610","0.6179291555","72654.16666666667","56052.5000000000","72385.0000000000","93777.5000000000"
"2001","Branford","192","168299.34375","91750.0000000000","140000.0000000000","225000.0000000000","0.7494797315260415","0.4990844445","0.5845000000","0.7064464018","98343.33333333333","61897.5000000000","79380.0000000000","124862.5000000000"
"2001","Bridgeport","668","119429.37275449102","72020.0000000000","120000.0000000000","162000.0000000000","1.8114243247050912","0.4666666670","0.5438235295","0.6921279725","87683.5748502994","50137.7500000000","70700.5000000000","91998.2500000000"
"2001","Bridgewater","8","217962.375","95000.0000000000","151500.0000000000","324774.5000000000","0.9892876408749998","0.3764655173","0.4762095280","0.6675892855","106137.5","57150.0000000000","79650.0000000000","130675.0000000000"
"2001","Bristol","414","122703.02657004831","79925.0000000000","115000.0000000000","150800.0000000000","0.5983784930338164","0.4753752785","0.5327965875","0.6067600530","66742.82608695653","41877.5000000000","63090.0000000000","81875.0000000000"
"2001","Brooklyn","38","144447.36842105264","105750.0000000000","136500.0000000000","189900.0000000000","0.6246121924473683","0.5682637530","0.6055368830","0.6577144590","84519.21052631579","62732.5000000000","84165.0000000000","109860.0000000000"
"2001","Burlington","60","181510.33333333334","95000.0000000000","163250.0000000000","265000.0000000000","1.5184272717499994","0.5155626900","0.5729046955","0.6389501957","111430.16666666667","59220.0000000000","98210.0000000000","149415.0000000000"
"2001","Canaan","7","119928.57142857143","66500.0000000000","70000.0000000000","182250.0000000000","0.7008589035714287","0.4981490195","0.6428571430","0.8628571430","72814.28571428571","57600.0000000000","74600.0000000000","87100.0000000000"
"2001","Canterbury","33","104559.42424242424","38000.0000000000","95000.0000000000","164000.0000000000","0.7869423792424243","0.5268979390","0.6142857140","0.7727272730","68116.36363636363","34620.0000000000","70000.0000000000","83000.0000000000"
"2001","Canton","63","184301.53968253967","104500.0000000000","185000.0000000000","235169.5000000000","0.5643983795873019","0.4947420680","0.5571373610","0.6148264765","102281.58730158731","55910.0000000000","105000.0000000000","126420.0000000000"
"2001","Chaplin","9","90201.66666666667","53000.0000000000","82000.0000000000","123000.0000000000","0.552537867","0.5040650410","0.5482625480","0.6330511590","49333.333333333336","22000.0000000000","44000.0000000000","62000.0000000000"
"2001","Cheshire","139","227796.3669064748","151750.0000000000","209500.0000000000","299950.0000000000","0.7137232539496404","0.5033910755","0.5448648650","0.6017985895","134967.19424460432","93050.0000000000","118580.0000000000","158860.0000000000"
"2001","Chester","23","184014.13043478262","118750.0000000000","180000.0000000000","223500.0000000000","0.5958057610434784","0.5270609460","0.5645714290","0.6309339140","119934.78260869565","88600.0000000000","108000.0000000000","149200.0000000000"
"2001","Clinton","96","159592.46875","77500.0000000000","148750.0000000000","219250.0000000000","1.0527789655104165","0.5316320162","0.5909336025","0.6780174297","98633.02083333333","54375.0000000000","95100.0000000000","131650.0000000000"
"2001","Colebrook","15","131273.33333333334","37000.0000000000","159900.0000000000","188500.0000000000","0.6599705192666666","0.5390582750","0.5991836730","0.6504239260","77260","21350.0000000000","94800.0000000000","105550.0000000000"
"2001","Coventry","86","140520.40697674418","86400.0000000000","125000.0000000000","200000.0000000000","0.9659446595697673","0.5880362810","0.6354400895","0.7125710228","94156.3953488372","56000.0000000000","89985.0000000000","131740.0000000000"
